,year,host,total_attendance,average_attendance,matches_played,attendance m
0,1930,Uruguay,434000,24139,16,0.43
1,1934,Italy,395000,23235,17,0.40
2,1938,France,483000,26833,18,0.48
3,1950,Brazil,1337000,60773,22,1.34
4,1954,Switzerland,943000,36269,26,0.94
5,1958,Sweden,868000,24800,35,0.87
6,1962,Chile,776000,24250,32,0.78
7,1966,England,1614677,50459,32,1.61
8,1970,Mexico,1673975,52312,32,1.67
9,1974,Germany,1774022,46685,38,1.77
10,1978,Argentina,1610215,42374,38,1.61
11,1982,Spain ,1856277,35698,52,1.86
12,1986,Mexico,2407431,46297,52,2.41
13,1990,Italy,2527348,48411,52,2.53
14,1994,USA,3568567,68626,52,3.57
15,1998,France,2859234,44676,64,2.86
16,2002,Japan & South Korea,2724604,42571,64,2.72
17,2006,Germany,3367000,52609,64,3.37
18,2010,South Africa ,3167984,49499,64,3.17
19,2014,Brazil,3441450,53772,64,3.44
20,2018,Russia,3031768,47371,64,3.03
